,Unnamed: 0,GrLivArea,YearBuilt,SalePrice,LotArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,1stFlrSF,2ndFlrSF,YearsOld,before_'08,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM
0,0,0.37020659097218966,2003,208500,-0.3001200183212406,2,3,8,2,-0.7931620228890666,1.161453624933343,-1.0429020237883548,0,0,1,0,0,0,0,1,0
1,1,-0.4823466424740098,1976,181500,-0.09948698067633534,2,3,6,2,0.25705235291419054,-0.7948908644380686,-0.18340222302834722,1,0,1,0,0,0,0,1,0
2,2,0.5148361573603842,2001,223500,0.1883778124663548,2,3,6,2,-0.6276109882796861,1.188943243050974,-0.9767866544991236,0,0,1,0,0,0,0,1,0
3,3,0.38352773524478656,1915,140000,-0.10821015622611384,1,3,7,3,-0.5215548567330518,0.9369550769726892,1.8000588556485937,1,0,0,1,0,0,0,1,0
4,4,1.2988806488332285,2000,250000,0.7135129805630198,2,4,9,3,-0.04559563223108304,1.6173231253840583,-0.9437289698545078,0,0,1,0,0,0,0,1,0
5,5,-0.2920445814369117,1993,143000,0.6882157714686622,1,1,5,2,-0.9483661178353607,0.5017027901101971,-0.6792674926975825,0,0,0,1,0,0,0,1,0
6,6,0.339758261206254,2004,307000,-0.01504664135447957,2,3,7,2,1.3745218365275085,-0.7948908644380686,-1.1090173930775862,1,0,1,0,0,0,0,1,0
7,7,1.0933544229131624,1973,200000,0.036943484922200225,2,3,7,2,-0.14389155903040268,1.456967019697877,-0.01811379980526882,0,0,1,0,0,0,0,1,0
8,8,0.49199991003593246,1931,129900,-0.7066199989409182,2,2,8,2,-0.3637640268709861,0.9277918709334788,1.337251270623974,0,0,0,1,0,0,0,0,1
9,9,-0.8344054553926413,1939,118000,-0.4798174346466775,1,2,5,1,-0.22149360650354974,-0.7948908644380686,1.0727897934670487,0,0,1,0,0,0,0,1,0
10,10,-0.9048172179763676,1965,129500,0.1796546369165763,1,3,5,1,-0.3172027983870978,-0.7948908644380686,0.21328999270704094,0,0,0,1,0,0,0,1,0
11,11,1.538661245739972,2005,345000,0.3059662188773688,3,4,11,3,0.05011355965246502,1.821204459756489,-1.1751327623668177,1,1,0,0,0,0,0,1,0
12,12,-1.1484038561038532,1962,144000,0.48810612435674366,1,2,4,1,-0.6483048676058587,-0.7948908644380686,0.312463046640888,0,0,0,1,0,0,0,1,0
13,13,-0.040845860867942216,2006,279500,0.08404863289100406,2,3,7,3,0.8571748533731947,-0.7948908644380686,-1.1751327623668177,1,0,1,0,0,0,0,1,0
14,14,-0.4994738279673486,1960,157000,0.13080485383781676,1,2,5,1,0.23377173867224643,-0.7948908644380686,0.37857841593011937,0,0,1,0,0,0,0,1,0
15,15,-1.25877905150537,1929,132000,-0.7066199989409182,1,2,5,2,-0.7983354927206097,-0.7948908644380686,1.3703089552685899,1,0,0,1,0,0,0,0,1
16,16,-0.9733259599497229,1970,149000,0.18680764086739465,1,2,5,2,-0.4103252553548743,-0.7948908644380686,0.1141169387731939,0,1,0,0,0,0,0,1,0
