,MSZoning,GrLivArea,YrSold,YearBuilt,SalePrice,LotArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageFinish,1stFlrSF,2ndFlrSF
0,RL,1710,2008,2003,208500,8450,2,3,8,2,RFn,856,854
1,RL,1262,2007,1976,181500,9600,2,3,6,2,RFn,1262,0
2,RL,1786,2008,2001,223500,11250,2,3,6,2,RFn,920,866
3,RL,1717,2006,1915,140000,9550,1,3,7,3,Unf,961,756
4,RL,2198,2008,2000,250000,14260,2,4,9,3,RFn,1145,1053
5,RL,1362,2009,1993,143000,14115,1,1,5,2,Unf,796,566
6,RL,1694,2007,2004,307000,10084,2,3,7,2,RFn,1694,0
7,RL,2090,2009,1973,200000,10382,2,3,7,2,RFn,1107,983
8,RM,1774,2008,1931,129900,6120,2,2,8,2,Unf,1022,752
9,RL,1077,2008,1939,118000,7420,1,2,5,1,RFn,1077,0
10,RL,1040,2008,1965,129500,11200,1,3,5,1,Unf,1040,0
11,RL,2324,2006,2005,345000,11924,3,4,11,3,Fin,1182,1142
12,RL,912,2008,1962,144000,12968,1,2,4,1,Unf,912,0
13,RL,1494,2007,2006,279500,10652,2,3,7,3,RFn,1494,0
14,RL,1253,2008,1960,157000,10920,1,2,5,1,RFn,1253,0
15,RM,854,2007,1929,132000,6120,1,2,5,2,Unf,854,0
16,RL,1004,2010,1970,149000,11241,1,2,5,2,Fin,1004,0
17,RL,1296,2006,1967,90000,10791,2,2,6,2,Unf,1296,0
18,RL,1114,2008,2004,159000,13695,1,3,6,2,Unf,1114,0
19,RL,1339,2009,1958,139000,7560,1,3,6,1,Unf,1339,0
20,RL,2376,2006,2005,325300,14215,3,4,9,3,RFn,1158,1218
21,RM,1108,2007,1930,139400,7449,1,3,6,1,Unf,1108,0
22,RL,1795,2008,2002,230000,9742,2,3,7,2,RFn,1795,0
23,RM,1060,2007,1976,129900,4224,1,3,6,2,Unf,1060,0
24,RL,1060,2010,1968,154000,8246,1,3,6,1,Unf,1060,0
25,RL,1600,2009,2007,256300,14230,2,3,7,3,RFn,1600,0
26,RL,900,2010,1951,134800,7200,1,3,5,2,Unf,900,0
27,RL,1704,2010,2007,306000,11478,2,3,7,3,RFn,1704,0
28,RL,1600,2006,1957,207500,16321,1,2,6,1,RFn,1600,0
29,RM,520,2008,1927,68500,6324,1,1,4,1,Unf,520,0
30,C (all),1317,2008,1920,40000,8500,1,3,6,1,Unf,649,668
31,RL,1228,2008,1966,149350,8544,1,3,6,1,Unf,1228,0
32,RL,1234,2008,2007,179900,11049,2,3,7,2,RFn,1234,0
33,RL,1700,2010,1959,165500,10552,1,4,6,2,RFn,1700,0
34,RL,1561,2007,2005,277500,7313,2,2,6,2,Fin,1561,0
35,RL,2452,2006,2004,309000,13418,3,4,9,3,Fin,1132,1320
36,RL,1097,2009,1994,145000,10859,1,3,6,2,Unf,1097,0
37,RL,1297,2009,1954,153000,8532,1,3,5,2,Fin,1297,0
38,RL,1057,2010,1953,109000,7922,1,3,5,1,Unf,1057,0
39,RL,1152,2008,1955,82000,6040,2,2,6,0,,1152,0
40,RL,1324,2006,1965,160000,8658,2,3,6,2,RFn,1324,0
41,RL,1328,2007,1959,170000,16905,1,2,5,1,RFn,1328,0
42,RL,884,2007,1983,144000,9180,1,2,5,2,RFn,884,0
43,RL,938,2008,1975,130250,9200,1,3,5,1,Unf,938,0
44,RL,1150,2006,1959,141000,7945,1,3,6,1,RFn,1150,0
45,RL,1752,2010,2005,319900,7658,2,2,6,2,RFn,1752,0
46,RL,2149,2009,2003,239686,12822,1,1,6,2,RFn,1518,631
47,FV,1656,2007,2006,249700,11096,2,3,7,3,RFn,1656,0
48,RM,1452,2009,1920,113000,4456,2,2,8,0,,736,716
49,RL,955,2007,1966,127000,7742,1,3,6,1,Unf,955,0
50,RL,1470,2007,1997,177000,13869,2,3,6,2,Fin,794,676
51,RM,1176,2006,1934,114500,6240,1,3,6,2,Unf,816,0
